DPT;CIRC;INS;VOT;BLA;NUL;EXP;EXG;PCF;FG;EELV-GR;EELV;PS-EELV;PS;DVG;GEC;DIV;ECO;REG;MoDem;UDI;UD;LR;DVD;SOUV;FN;EXD
33;03;77939;36533;536;369;35628;408;0;2432;0;2951;0;13854;616;943;0;0;0;0;0;8237;0;0;1030;5157;0
33;04;90125;41771;676;565;40530;539;0;2052;0;1845;0;15589;437;444;0;0;0;0;0;8391;0;0;1232;10001;0
33;05;106376;53845;977;837;52031;618;0;1815;0;2180;0;16660;490;761;0;0;0;0;0;12466;0;0;1738;15303;0
33;06;98801;50658;778;534;49346;422;0;1731;0;2944;0;17890;624;845;0;0;0;0;0;14544;0;0;1584;8762;0
33;07;75265;39945;522;446;38977;307;0;1428;0;2040;0;17283;432;662;0;0;0;0;0;10200;0;0;1093;5532;0
33;08;103983;52977;823;708;51446;379;0;1208;0;2131;0;14435;435;779;0;0;0;0;0;17190;0;0;2089;12800;0
33;09;89959;47641;1049;932;45660;621;0;2278;0;2499;0;15272;607;851;0;0;0;0;0;11180;0;0;1600;10752;0
33;10;79540;41280;788;768;39724;406;0;1337;0;1700;0;11932;341;609;0;0;0;0;0;10408;0;0;1289;11702;0
33;11;90513;45101;930;872;43299;638;0;1549;0;1626;0;13413;392;533;0;0;0;0;0;9291;0;0;1455;14402;0
33;12;80887;43674;840;779;42055;476;0;2044;0;2186;0;13760;434;868;0;0;0;0;0;10548;0;0;1386;10353;0
34;01;82430;41284;1048;486;39750;487;0;0;3488;0;0;5933;7786;822;0;0;0;0;0;6318;0;0;1600;13060;256
34;02;60051;25551;572;265;24714;383;0;0;3574;0;0;4669;6429;674;0;0;0;0;0;3640;0;0;720;4510;115
34;03;82381;44243;894;513;42836;487;0;0;3962;0;0;7382;8373;791;0;0;0;0;0;7808;0;0;1727;12088;218
34;04;108892;58244;1319;934;55991;902;0;0;6178;0;0;9816;7690;927;0;0;0;0;0;8450;0;0;2300;19357;371
34;05;93183;50112;1374;993;47745;974;0;0;5085;0;0;9498;4433;589;0;0;0;0;0;6287;0;0;1940;18550;389
34;06;88711;44805;1152;660;42993;730;0;0;3086;0;0;7033;3030;429;0;0;0;0;0;6334;0;0;1688;20339;324
34;07;99723;52632;1228;1089;50315;835;0;0;4524;0;0;7540;3820;560;0;0;0;0;0;9303;0;0;2149;21224;360
34;08;85976;43361;1013;615;41733;567;0;0;4427;0;0;7099;6293;663;0;0;0;0;0;5855;0;0;1660;14885;284
34;09;80036;39964;796;631;38537;526;0;0;3068;0;0;5744;6055;557;0;0;0;0;0;6788;0;0;1486;14078;235
